epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.087,1.12946,2.20834,2.67844,1.32712,0.49103,0.49793,0.49413,0.39792,0.483,0.48037,0.4744,0.36177,0.72243,2.64806,1.62993,1.08885,0.00332288,0.00332288,0.00332288
2,276.162,0.98904,1.78491,1.3918,1.1993,0.66032,0.54926,0.61906,0.48423,0.65645,0.53626,0.59943,0.44936,0.82318,2.50651,1.4346,1.13628,0.00664963,0.00664963,0.00664963
3,434.568,1.05633,1.90551,1.36926,1.23508,0.53508,0.38897,0.45104,0.32564,0.51925,0.38331,0.42781,0.28217,1.07047,3.32155,2.2747,1.35821,0.00996977,0.00996977,0.00996977
4,569.415,1.15849,2.10337,1.47472,1.30501,0.7086,0.51962,0.60953,0.44936,0.70291,0.51391,0.59083,0.4024,1.02148,3.0093,1.54033,1.29104,0.0099703,0.0099703,0.0099703
5,707.596,1.09232,1.97814,1.28921,1.2591,0.68673,0.59791,0.66469,0.49441,0.68065,0.57896,0.63982,0.45418,0.95935,2.96179,1.43087,1.24324,0.0099604,0.0099604,0.0099604
6,849.619,1.04546,1.84935,1.17798,1.22563,0.74143,0.6364,0.70246,0.53579,0.72811,0.635,0.68617,0.49404,0.91143,2.66223,1.28612,1.20473,0.0099505,0.0099505,0.0099505
7,1010.69,1.00677,1.75965,1.08825,1.19809,0.76676,0.6593,0.7439,0.57184,0.75878,0.64072,0.71286,0.50255,0.87229,2.70333,1.0932,1.21026,0.0099406,0.0099406,0.0099406
8,1146.36,0.97482,1.68772,1.02767,1.17705,0.78776,0.65036,0.73967,0.58545,0.80782,0.63328,0.72327,0.53879,0.83988,2.55338,1.02301,1.15929,0.0099307,0.0099307,0.0099307
9,1278.57,0.95181,1.65121,0.98183,1.1619,0.79496,0.68136,0.76312,0.60674,0.78412,0.67242,0.74299,0.55131,0.83033,2.63066,1.04186,1.12804,0.0099208,0.0099208,0.0099208
10,1417.4,0.92309,1.5847,0.93977,1.14208,0.77148,0.68568,0.75855,0.60879,0.76254,0.67409,0.73555,0.55273,0.79956,2.62783,0.95858,1.12279,0.0099109,0.0099109,0.0099109
