epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.948,0.75772,1.80807,1.77319,1.13074,0.64772,0.63476,0.67698,0.58582,0.62408,0.63942,0.6606,0.54806,0.58588,1.8113,1.30763,1.0376,0.00332633,0.00332633,0.00332633
2,348.595,0.62426,1.39329,0.83714,1.00439,0.69819,0.66481,0.69355,0.55985,0.67558,0.65019,0.6669,0.5084,0.73858,2.03994,1.28972,1.11704,0.00664648,0.00664648,0.00664648
3,515.626,0.71249,1.54477,0.8758,1.05992,0.55038,0.41572,0.49917,0.3689,0.52192,0.39863,0.47013,0.32812,0.9821,2.72485,2.18489,1.31959,0.00995342,0.00995342,0.00995342
4,683.585,0.77719,1.67273,0.92977,1.10817,0.57571,0.58113,0.58797,0.43748,0.56469,0.56869,0.56601,0.39734,0.95038,2.58467,1.81189,1.30929,0.0099406,0.0099406,0.0099406
5,846.503,0.71238,1.53621,0.80101,1.0702,0.67648,0.64261,0.69726,0.53271,0.64724,0.61119,0.65756,0.4747,0.89444,2.29375,1.27842,1.26523,0.0099208,0.0099208,0.0099208
6,1009.42,0.66924,1.43846,0.72692,1.04557,0.71889,0.61828,0.69093,0.53494,0.70163,0.60445,0.66626,0.48951,0.88297,2.32678,1.19071,1.25644,0.009901,0.009901,0.009901
7,1171.45,0.63282,1.36735,0.65158,1.02263,0.72676,0.73882,0.79064,0.63309,0.72361,0.72141,0.7721,0.59132,0.74417,2.02814,0.95162,1.13511,0.0098812,0.0098812,0.0098812
8,1336.74,0.59949,1.2952,0.597,1.0083,0.8121,0.70028,0.79231,0.63966,0.80012,0.69147,0.77028,0.59501,0.76149,2.07279,0.99536,1.16381,0.0098614,0.0098614,0.0098614
9,1502.91,0.57445,1.25317,0.5792,0.99506,0.85341,0.74485,0.83198,0.68765,0.84647,0.73755,0.81308,0.63733,0.69576,1.94253,0.77005,1.11111,0.0098416,0.0098416,0.0098416
10,1667.26,0.54963,1.21509,0.54086,0.98122,0.76857,0.7601,0.80376,0.65983,0.74391,0.73552,0.76205,0.58924,0.69285,1.99847,0.85102,1.10494,0.0098218,0.0098218,0.0098218
11,1834.99,0.53131,1.18721,0.51603,0.97036,0.84301,0.7889,0.85047,0.71516,0.82956,0.77866,0.83086,0.66923,0.65154,1.8409,0.76904,1.06218,0.009802,0.009802,0.009802
12,2002.32,0.50563,1.13195,0.49103,0.95648,0.82069,0.77624,0.84028,0.69951,0.77954,0.74005,0.79286,0.62473,0.66473,1.99531,0.76059,1.07895,0.0097822,0.0097822,0.0097822
13,2170.58,0.50547,1.0957,0.47578,0.95892,0.86308,0.80095,0.87189,0.74166,0.85479,0.79474,0.8539,0.69339,0.61496,1.76351,0.66366,1.0478,0.0097624,0.0097624,0.0097624
14,2336.92,0.4891,1.07449,0.46472,0.95321,0.85937,0.86665,0.88583,0.75382,0.84706,0.8522,0.86239,0.70283,0.61119,1.75374,0.60134,1.05754,0.0097426,0.0097426,0.0097426
15,2504.56,0.47291,1.0602,0.44103,0.94224,0.88006,0.8471,0.88769,0.757,0.87104,0.83844,0.86531,0.70651,0.58513,1.69888,0.58451,1.02377,0.0097228,0.0097228,0.0097228
16,2669.51,0.4721,1.03959,0.43473,0.94156,0.87177,0.81695,0.88398,0.76376,0.86143,0.81089,0.86374,0.70579,0.56446,1.6895,0.62998,1.00406,0.009703,0.009703,0.009703
17,2834.38,0.46487,1.02564,0.42386,0.93732,0.88106,0.84148,0.88741,0.76546,0.87021,0.83197,0.86767,0.71299,0.57042,1.6664,0.56527,1.01283,0.0096832,0.0096832,0.0096832
18,3001.04,0.44322,0.98539,0.41612,0.92724,0.88321,0.87161,0.89856,0.77941,0.85805,0.85225,0.86278,0.71347,0.54835,1.69428,0.51418,0.99521,0.0096634,0.0096634,0.0096634
19,3167.82,0.45013,1.00173,0.40055,0.93107,0.89146,0.84732,0.90107,0.78375,0.87275,0.84228,0.88326,0.73278,0.56163,1.66325,0.51009,1.00222,0.0096436,0.0096436,0.0096436
20,3334.91,0.43367,0.93925,0.38728,0.92247,0.90132,0.86741,0.90588,0.78484,0.88237,0.85156,0.87582,0.72976,0.5631,1.66151,0.52112,1.01127,0.0096238,0.0096238,0.0096238
21,3502.72,0.42598,0.95578,0.38564,0.91843,0.90038,0.85636,0.90106,0.78556,0.88399,0.84293,0.87396,0.72813,0.54361,1.69073,0.50775,0.98385,0.009604,0.009604,0.009604
22,3667.19,0.42383,0.92024,0.37585,0.91878,0.89072,0.86581,0.90077,0.78718,0.87839,0.85723,0.88251,0.73609,0.54224,1.57057,0.4919,0.98387,0.0095842,0.0095842,0.0095842
23,3832.45,0.41978,0.93995,0.37357,0.91652,0.89315,0.87157,0.90393,0.79208,0.88979,0.86293,0.88557,0.74205,0.5318,1.65036,0.483,0.97904,0.0095644,0.0095644,0.0095644
24,3995.74,0.4153,0.91159,0.36738,0.91449,0.92193,0.86226,0.90957,0.79414,0.90237,0.84638,0.88022,0.73715,0.52748,1.64379,0.46228,0.97635,0.0095446,0.0095446,0.0095446
25,4161.99,0.40516,0.89591,0.35619,0.90819,0.90615,0.87465,0.9134,0.80138,0.89717,0.84797,0.88135,0.73978,0.53347,1.63602,0.4544,0.98815,0.0095248,0.0095248,0.0095248
26,4326.03,0.40787,0.903,0.36397,0.91277,0.90946,0.87485,0.91299,0.80451,0.90076,0.86475,0.89145,0.74877,0.52893,1.56126,0.46152,0.97957,0.009505,0.009505,0.009505
27,4489.59,0.39844,0.88655,0.34812,0.90843,0.88971,0.89337,0.9151,0.80769,0.90178,0.85205,0.88897,0.75003,0.50666,1.59389,0.43814,0.95577,0.0094852,0.0094852,0.0094852
28,4653.67,0.39301,0.87739,0.34836,0.9018,0.93376,0.87137,0.91747,0.80917,0.92376,0.86313,0.90018,0.76014,0.52508,1.58861,0.4775,0.97197,0.0094654,0.0094654,0.0094654
29,4816.49,0.39253,0.88986,0.34389,0.90411,0.89969,0.89233,0.91668,0.81452,0.8996,0.87402,0.89931,0.76092,0.50783,1.49866,0.4157,0.96987,0.0094456,0.0094456,0.0094456
30,4983.06,0.3886,0.85003,0.33237,0.90337,0.9338,0.88668,0.91889,0.81424,0.91903,0.87061,0.89299,0.75988,0.49861,1.50528,0.41485,0.95706,0.0094258,0.0094258,0.0094258
31,5148.15,0.38733,0.86894,0.33802,0.90574,0.92958,0.88419,0.92413,0.82768,0.91804,0.87453,0.90271,0.77207,0.48833,1.505,0.39393,0.95207,0.009406,0.009406,0.009406
32,5314.2,0.37638,0.83938,0.33104,0.89656,0.9103,0.89387,0.92065,0.81789,0.90534,0.87613,0.90249,0.7673,0.50059,1.51033,0.40967,0.95825,0.0093862,0.0093862,0.0093862
33,5479.09,0.37626,0.83256,0.32185,0.89931,0.92109,0.90257,0.92712,0.83287,0.91196,0.89968,0.91451,0.77768,0.47658,1.47953,0.37255,0.94232,0.0093664,0.0093664,0.0093664
34,5644.79,0.37881,0.8592,0.32627,0.90072,0.9239,0.90626,0.93048,0.82695,0.91417,0.89689,0.91373,0.77706,0.49144,1.43267,0.38634,0.95697,0.0093466,0.0093466,0.0093466
35,5809.41,0.37275,0.82329,0.32351,0.89466,0.92979,0.88444,0.92149,0.82739,0.91813,0.87391,0.89924,0.77062,0.47548,1.46529,0.39775,0.94581,0.0093268,0.0093268,0.0093268
36,5974.85,0.37112,0.8189,0.31889,0.89654,0.92813,0.90556,0.92774,0.83126,0.91562,0.89375,0.90633,0.7777,0.47675,1.47108,0.36979,0.94583,0.009307,0.009307,0.009307
37,6141.23,0.36681,0.8218,0.31034,0.89122,0.91242,0.90237,0.92384,0.8334,0.90957,0.89107,0.90708,0.78109,0.46909,1.38822,0.36002,0.93533,0.0092872,0.0092872,0.0092872
38,6306.23,0.36248,0.80151,0.30685,0.89084,0.92783,0.90905,0.93041,0.83417,0.9193,0.90082,0.91184,0.78666,0.47244,1.43772,0.36525,0.9414,0.0092674,0.0092674,0.0092674
39,6469.52,0.35978,0.80213,0.30101,0.89161,0.93236,0.89126,0.92396,0.83057,0.92156,0.88493,0.90449,0.78313,0.46938,1.42324,0.36271,0.9473,0.0092476,0.0092476,0.0092476
40,6635.91,0.36331,0.79404,0.30697,0.89567,0.94371,0.88565,0.92685,0.8361,0.94189,0.8751,0.91096,0.78343,0.46012,1.43967,0.35686,0.9294,0.0092278,0.0092278,0.0092278
41,6802.51,0.36068,0.79229,0.30541,0.89025,0.93449,0.88936,0.92879,0.83429,0.92594,0.88191,0.91113,0.78815,0.46892,1.44631,0.35786,0.9357,0.009208,0.009208,0.009208
42,6969.55,0.356,0.80125,0.30466,0.88837,0.9282,0.90243,0.92676,0.83403,0.92095,0.89651,0.91376,0.78954,0.45961,1.37113,0.35445,0.93585,0.0091882,0.0091882,0.0091882
43,7135.26,0.35444,0.78317,0.29715,0.88768,0.93856,0.90226,0.93338,0.84291,0.92533,0.88975,0.91046,0.79225,0.45228,1.39646,0.34232,0.93122,0.0091684,0.0091684,0.0091684
44,7301.21,0.35141,0.7749,0.29536,0.88799,0.94285,0.90606,0.9345,0.84735,0.92851,0.89258,0.9129,0.7919,0.45596,1.42886,0.34076,0.9373,0.0091486,0.0091486,0.0091486
45,7467.51,0.35355,0.77777,0.29701,0.88833,0.94211,0.90339,0.92482,0.84113,0.93211,0.89361,0.90859,0.78688,0.45184,1.42472,0.35189,0.92328,0.0091288,0.0091288,0.0091288
46,7633.26,0.34616,0.78901,0.29309,0.88673,0.93023,0.90884,0.92853,0.83997,0.92479,0.90176,0.91417,0.79189,0.45331,1.38882,0.3396,0.92894,0.009109,0.009109,0.009109
47,7799.22,0.34818,0.76836,0.29693,0.88348,0.93406,0.89773,0.93107,0.84159,0.91844,0.89252,0.91046,0.79337,0.4458,1.37368,0.34273,0.91916,0.0090892,0.0090892,0.0090892
48,7964.63,0.34553,0.75988,0.28862,0.88548,0.9351,0.90658,0.92884,0.84478,0.92476,0.89673,0.90975,0.79047,0.44199,1.41519,0.33985,0.91818,0.0090694,0.0090694,0.0090694
49,8127.51,0.34513,0.76868,0.28904,0.88591,0.94962,0.90795,0.93167,0.84762,0.93856,0.89943,0.91436,0.79807,0.45023,1.39614,0.33624,0.92795,0.0090496,0.0090496,0.0090496
50,8293.22,0.34147,0.76168,0.28739,0.8835,0.94068,0.91205,0.93125,0.84857,0.93126,0.90435,0.91308,0.79877,0.43658,1.37011,0.32476,0.91895,0.0090298,0.0090298,0.0090298
51,8457.9,0.34222,0.75599,0.28341,0.88303,0.94483,0.90974,0.93519,0.85101,0.93378,0.89865,0.91438,0.79558,0.44654,1.38964,0.32867,0.92344,0.00901,0.00901,0.00901
52,8623.08,0.34209,0.75623,0.284,0.88226,0.94437,0.91406,0.93614,0.85403,0.93359,0.90524,0.91953,0.80526,0.44272,1.35709,0.3149,0.91792,0.0089902,0.0089902,0.0089902
53,8788.94,0.33552,0.7346,0.28015,0.87856,0.95138,0.90454,0.93562,0.85176,0.93914,0.89439,0.91461,0.80343,0.44027,1.33989,0.31392,0.91677,0.0089704,0.0089704,0.0089704
54,8959.71,0.3307,0.7336,0.27752,0.87513,0.93476,0.91768,0.93328,0.85442,0.92657,0.90902,0.91597,0.80821,0.43602,1.33732,0.32361,0.91931,0.0089506,0.0089506,0.0089506
