epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8366,1.41562,3.03143,4.30595,1.46024,0.01867,0.09928,0.03208,0.02267,0.01867,0.09928,0.03152,0.02158,0.81399,3.13201,3.92255,1.05433,0.00329167,0.00329167,0.00329167
2,136.211,1.27043,2.59447,3.39869,1.33458,0.2337,0.10735,0.06627,0.05008,0.23313,0.1057,0.06505,0.04325,1.05571,3.24848,3.46802,1.27045,0.00661844,0.00661844,0.00661844
3,173.518,1.31456,2.59532,2.82285,1.36007,0.1225,0.14699,0.0779,0.05363,0.15875,0.13548,0.07023,0.04366,1.38197,4.91278,4.66717,1.54918,0.00993862,0.00993862,0.00993862
4,220.269,1.35683,2.64038,2.57087,1.3914,0.20191,0.20555,0.12121,0.07563,0.19264,0.18447,0.09838,0.05414,1.43714,6.19686,3.19719,1.50108,0.0099703,0.0099703,0.0099703
5,267.748,1.29969,2.52957,2.30012,1.36028,0.29613,0.30756,0.23089,0.16078,0.29939,0.2905,0.21889,0.13759,1.32393,4.25018,2.96828,1.48473,0.0099604,0.0099604,0.0099604
6,319.169,1.25633,2.43088,2.10833,1.32939,0.39831,0.34739,0.31891,0.22163,0.37025,0.33049,0.29901,0.19326,1.17246,3.48004,2.54772,1.31724,0.0099505,0.0099505,0.0099505
7,370.57,1.23058,2.40175,1.984,1.30926,0.50245,0.32345,0.3405,0.21999,0.48569,0.30687,0.30776,0.18135,1.32671,4.05372,2.53992,1.4227,0.0099406,0.0099406,0.0099406
8,408.935,1.21033,2.34367,1.87163,1.29652,0.42236,0.34673,0.35294,0.24997,0.42594,0.33701,0.335,0.20809,1.18545,3.61578,2.27178,1.35257,0.0099307,0.0099307,0.0099307
9,446.128,1.18188,2.27246,1.78126,1.28136,0.56836,0.43183,0.4724,0.33367,0.56063,0.41673,0.45021,0.30669,1.15139,3.68319,1.91747,1.31619,0.0099208,0.0099208,0.0099208
10,481.359,1.14898,2.17309,1.65392,1.25158,0.61156,0.46158,0.49494,0.35956,0.59479,0.44683,0.4693,0.31667,1.05477,3.22965,1.92598,1.19572,0.0099109,0.0099109,0.0099109
11,516.633,1.14157,2.16804,1.60677,1.24835,0.53758,0.48521,0.48999,0.345,0.52695,0.46731,0.46202,0.2959,1.14835,3.17958,1.93485,1.28973,0.009901,0.009901,0.009901
12,551.513,1.12709,2.12881,1.54963,1.23988,0.65155,0.53003,0.59914,0.45278,0.66439,0.51425,0.58233,0.4221,1.02061,2.98991,1.54552,1.21266,0.0098911,0.0098911,0.0098911
13,592.43,1.11286,2.12713,1.49326,1.2265,0.63931,0.49614,0.5731,0.42047,0.63277,0.49177,0.54796,0.37483,1.05207,3.08048,1.62442,1.22246,0.0098812,0.0098812,0.0098812
14,630.354,1.09854,2.07116,1.43211,1.21852,0.71562,0.52403,0.62262,0.46547,0.69873,0.52021,0.59316,0.41327,1.03387,3.26575,1.42343,1.22025,0.0098713,0.0098713,0.0098713
15,669.474,1.09527,2.07076,1.42391,1.22571,0.68724,0.52914,0.61694,0.4727,0.68482,0.52207,0.60078,0.43607,0.98845,2.90753,1.44954,1.18566,0.0098614,0.0098614,0.0098614
16,706.19,1.08681,2.05609,1.38339,1.21774,0.63278,0.5411,0.59299,0.44476,0.62251,0.53389,0.57267,0.40406,1.01288,3.09018,1.50562,1.19296,0.0098515,0.0098515,0.0098515
17,745.685,1.06507,2.01328,1.33605,1.19781,0.65724,0.46366,0.53299,0.39013,0.64997,0.44442,0.50973,0.34725,1.15161,3.27594,1.84415,1.29607,0.0098416,0.0098416,0.0098416
18,788.062,1.06068,2.0072,1.30246,1.1936,0.67793,0.52497,0.60135,0.45173,0.6665,0.516,0.58139,0.41944,0.99594,3.07518,1.65081,1.16533,0.0098317,0.0098317,0.0098317
