epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.607,0.95467,2.18944,3.189,1.15716,0.54642,0.21379,0.22937,0.18257,0.54595,0.21586,0.22488,0.17828,0.78034,2.29791,2.78148,1.08526,0.00332633,0.00332633,0.00332633
2,127.045,0.82276,1.72499,1.82417,1.03648,0.503,0.24166,0.25701,0.18097,0.46193,0.21649,0.22537,0.15837,1.05006,2.64262,2.70841,1.29426,0.00664648,0.00664648,0.00664648
3,189.607,0.87513,1.76948,1.64764,1.06373,0.39438,0.35638,0.32419,0.22463,0.32793,0.34538,0.27099,0.16578,1.19669,3.42316,2.98786,1.41848,0.00995342,0.00995342,0.00995342
4,251.994,0.92563,1.83333,1.52155,1.09193,0.45232,0.43599,0.4316,0.31398,0.44112,0.42758,0.41689,0.28513,1.11077,2.69447,2.35604,1.29691,0.0099406,0.0099406,0.0099406
5,313.327,0.85226,1.71987,1.29229,1.05251,0.60903,0.50135,0.55119,0.41784,0.57543,0.46282,0.50255,0.36921,1.01893,2.5827,1.8158,1.23466,0.0099208,0.0099208,0.0099208
6,374.639,0.78658,1.62126,1.0869,1.02259,0.69181,0.58676,0.63944,0.50136,0.68709,0.57138,0.61934,0.46518,0.89871,2.32331,1.45779,1.1196,0.009901,0.009901,0.009901
7,436.555,0.75498,1.56065,0.95269,1.00623,0.66234,0.63756,0.66704,0.52346,0.64859,0.61671,0.63965,0.47671,0.8621,2.36414,1.60211,1.10265,0.0098812,0.0098812,0.0098812
8,497.781,0.7175,1.48086,0.84633,0.99002,0.73695,0.60072,0.68615,0.54209,0.72816,0.58524,0.65661,0.49496,0.85178,2.25797,1.25786,1.09668,0.0098614,0.0098614,0.0098614
9,558.888,0.68864,1.44694,0.78838,0.97995,0.72634,0.65522,0.71567,0.54874,0.68596,0.62854,0.6716,0.50316,0.85654,2.20417,1.17157,1.11302,0.0098416,0.0098416,0.0098416
10,619.621,0.66284,1.40729,0.72416,0.96512,0.7497,0.68805,0.75186,0.59933,0.7288,0.6721,0.7182,0.54109,0.77387,2.21,1.09233,1.06125,0.0098218,0.0098218,0.0098218
11,681.537,0.63168,1.35823,0.68521,0.95499,0.78858,0.72243,0.7904,0.63127,0.76387,0.69208,0.74772,0.57419,0.74282,2.08651,1.03334,1.03212,0.009802,0.009802,0.009802
