epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.86,0.84211,1.96764,2.11636,1.13607,0.62728,0.60188,0.64559,0.5522,0.62592,0.59182,0.63082,0.51761,0.63981,1.90576,1.38711,0.97308,0.00332633,0.00332633,0.00332633
2,258.27,0.6785,1.4946,0.87192,0.99155,0.67199,0.65164,0.69795,0.56767,0.649,0.62854,0.66903,0.52732,0.73959,2.13015,1.24074,1.0312,0.00664648,0.00664648,0.00664648
3,387.518,0.7571,1.58312,0.88963,1.02644,0.46871,0.47409,0.46967,0.34292,0.44679,0.43391,0.42955,0.30272,1.05512,2.79064,2.54663,1.24033,0.00995342,0.00995342,0.00995342
4,515.261,0.8079,1.65944,0.91226,1.05041,0.65323,0.5172,0.59868,0.45009,0.60958,0.50181,0.56082,0.39768,0.95882,2.63709,1.711,1.17631,0.0099406,0.0099406,0.0099406
5,642.161,0.76225,1.55421,0.83492,1.02742,0.7269,0.64348,0.71999,0.55174,0.71977,0.63518,0.70028,0.51814,0.88883,2.31581,1.20175,1.12165,0.0099208,0.0099208,0.0099208
6,766.9,0.71259,1.48802,0.75769,1.00366,0.75241,0.62681,0.7138,0.5602,0.73481,0.61701,0.69228,0.51668,0.8737,2.29643,1.12356,1.13667,0.009901,0.009901,0.009901
7,889.631,0.67745,1.41607,0.69623,0.98667,0.79906,0.70126,0.78274,0.63407,0.78112,0.67448,0.74204,0.56888,0.76225,2.237,0.93132,1.0489,0.0098812,0.0098812,0.0098812
8,1013.15,0.64669,1.35,0.64611,0.97361,0.78025,0.69493,0.77229,0.63421,0.77701,0.67478,0.74772,0.57874,0.72977,2.09504,0.94401,1.04336,0.0098614,0.0098614,0.0098614
9,1135.57,0.62017,1.32803,0.62581,0.96378,0.83989,0.74026,0.8175,0.67465,0.8335,0.73099,0.79916,0.63111,0.70421,2.0446,0.84189,1.01047,0.0098416,0.0098416,0.0098416
10,1257.59,0.59077,1.26574,0.58316,0.94873,0.81171,0.74425,0.79084,0.63813,0.79601,0.73162,0.76628,0.59658,0.74043,2.00393,0.88593,1.04629,0.0098218,0.0098218,0.0098218
11,1381.19,0.57066,1.24204,0.55399,0.94143,0.83308,0.79188,0.8468,0.69978,0.8195,0.77608,0.82557,0.65044,0.66991,1.94775,0.71356,0.99564,0.009802,0.009802,0.009802
12,1505.41,0.54488,1.17922,0.52649,0.93253,0.82361,0.76768,0.83814,0.69328,0.78703,0.73651,0.79309,0.61881,0.6775,2.0839,0.89428,1.01623,0.0097822,0.0097822,0.0097822
13,1627.51,0.5468,1.15466,0.52046,0.9358,0.87425,0.78856,0.86781,0.7338,0.85508,0.76988,0.83997,0.67266,0.61845,1.87822,0.64262,0.96885,0.0097624,0.0097624,0.0097624
14,1751.38,0.52666,1.148,0.49969,0.92453,0.84206,0.79721,0.85217,0.72452,0.80371,0.76897,0.81319,0.66253,0.62561,1.85474,0.71842,0.9678,0.0097426,0.0097426,0.0097426
15,1874.65,0.51623,1.13168,0.4812,0.91917,0.8607,0.81322,0.8698,0.72876,0.84525,0.79661,0.83938,0.67889,0.63521,1.8141,0.61556,0.97598,0.0097228,0.0097228,0.0097228
16,1998.1,0.51262,1.11411,0.47435,0.91953,0.80892,0.82927,0.87134,0.74153,0.80179,0.81174,0.84661,0.6887,0.60217,1.83837,0.60483,0.9587,0.009703,0.009703,0.009703
17,2120.22,0.50265,1.09892,0.46579,0.91147,0.87545,0.81117,0.87068,0.7444,0.85965,0.79307,0.84037,0.6857,0.60353,1.83151,0.60302,0.94974,0.0096832,0.0096832,0.0096832
18,2242.19,0.4913,1.06602,0.44933,0.91296,0.86223,0.84659,0.87564,0.75584,0.8467,0.8369,0.85716,0.70807,0.58882,1.70989,0.54587,0.9488,0.0096634,0.0096634,0.0096634
19,2364.34,0.48333,1.08173,0.44542,0.90849,0.89939,0.81473,0.88029,0.76047,0.8869,0.79951,0.85165,0.69464,0.59226,1.76982,0.55393,0.94968,0.0096436,0.0096436,0.0096436
20,2485.9,0.46845,1.00777,0.42206,0.89911,0.90655,0.83782,0.89422,0.77721,0.89497,0.82749,0.87419,0.72345,0.57343,1.7267,0.50964,0.93726,0.0096238,0.0096238,0.0096238
